Surround-Sound|Ton-Kino-Fernsehr-herum-5.1
Chefkoch|Restaurant-Essen-zubereiten-Herz-M#ue#tze
Capoeira|Brasilien-Kampf-Tanz-Kunst-Akrobatik
Karriereleiter|Beruf-Job-Erfolg-Stufe-oben
Frankreich|Land-Europa-Paris-Eiffelturm-Baguette
Kaution|Gef#ae#ngnis-Strafe-Geld-Richter-frei
Unh#oe#flich|Verhalten-Manieren-Benehmen-Umgang-schlecht
GPS|Signal-finden-Ort-Navigation-Satellit
Klempner|Beruf-Sprengler-Handwerk-Rohr-Roilette
China|Land-Asien-Peking-Hongkong-Mauer
Ordnungsamt|Polizei-Strafe-Versto#ss#-aufpassen-Uniform
Bauchnabel|K#oe#rper-Baby-Mitte-Schnur-Piercing
Second Hand|kaufen-Laden-gebraucht-Kleidung-alt
Update|Software-Programm-aktualisieren-Version-neu
Zuckerwatte|Jahrmarkt-s#ue##ss#-weich-Faden-wickeln
Rubbellos|Karte-Gl#ue#ck-Feld-kratzen-gewinnen
Cappuccino|kaffee-Milch-Schaum-Tasse-Italien
Pr#ue#fung|Test-Arbeit-Abschluss-lernen-wissen
Zeitung|Nachrichten-Presse-drucken-Papier-lesen
Gesund|krank-K#oe#rper-gut-fit-f#ue#hlen
L#ae#cheln|Mund-Lippen-freuen-fr#oe#hlich-grinsen
Kavier|essen-schwarz-Eier-Fisch-teuer
Genie|Mensch-schlau-klug-Verstand-Wahnsinn
Koala|B#ae#r-Beutel-grau-Eukalyptus-Australien
Piercing|stechen-Schmuck-Ring-Nase-Bauchnabel
Langsam|schnell-Tempo-Geschwindigkeit-wenig-bewegen
Keule|Holz-H#oe#hle-Huhn-Bein-Baseball
Emoticon|Symbol-Zeichen-Stimmung-Smiley-Internet
Bodensee|Wasser-Grenze-Alpen-konstanz-gro#ss#
Knabbern|essen-nagen-Z#ae#hne-klein-Zeug
Dumm|d#ae#mlich-bl#oe#d-Intelligenz-schlau-Brot
Marionette|Puppe-Kind-Theater-spielen-Faden
Kichererbse|Kichererbse-H#ue#lsenfrucht-Gem#ue#se-essen-lachen-albern
Einbrecher|R#ae#uber-stehlen-Haus-Nacht-T#ue#r
Katzenauge|Licht-Fahrrad-rot-sehen-schnurren
Sackgasse|Tasche-Beutel-tragen-Weg-Ende
Frieden|Ruhe-Einigkeit-schlie#ss#en-Krieg-Taube
Tr#oe#delmarkt|alt-Sachen-Stand-kaufen-handeln
Bed & Breakfast|Zimmer-Nacht-reisen-Ferien-Hotel
Skat|Karten-spielen-Blatt-Stich-reizen
Rind|Tier-Kuh-Vieh-Milch-Fleisch
Keks|essen-Geb#ae#ck-klein-Weihnachten-Teig
James Bond|007-Argent-Spion-geheim-Daniel Craig
Camouflage|Tarnung-Anzug-erkennen-verstecken-sehen
Klinge|Messer-Schwert-scharf-Metall-Eisen
Kamera|Foto-Film-Objektiv-digital-Bild
Publikum|Zuschauer-Menge-Leute-Theater-Konzert
Kung Fu|China-Kampf-Sport-Shaolin-Bruce Lee
Anspitzer|Stift-Mine-Holz-schreiben-drehen
3D|Form-Raum-K#oe#rper-Film-zwei
Quaken|Frosch-Kr#oe#te-Ger#ae#usch-Kehle-Tier
Strau#ss#|Vogel-Tier-W#ue#ste-fliegen-Blumen
Untertitel|Film-sehen-Text-sagen-lesen
Goldfisch|Aquarium-Teich-Tier-Glas-f#ue#ttern
Magen|Bauch-innen-Organ-essen-verdauen
Fl#ue#stert#ue#te|sprechen-leise-laut.h#oe#ren-Rohr
Kaffee|trinken-hei#ss#-Koffein-Morgen-Tee
Kreis|run-Form-Ring-Kugel-Ecke
Android|System-Software-mobil-Smartphone-Handy
Schnorchel|tauchen-schwimmen-Wasser-atmen-Brille
Durst|trinken-Wasser-trocken-Feuchtigkeit-Hunger
Flitterwochen|Hochzeit-heiraten-Urlaub-fahren-danach
Traum|schlafen-Nacht-Tag-Bild-Symbol
Rudel|Gruppe-Tier-Familie-Wolf-L#oe#we
Makler|Haus-Grundst#ue#ck-Immobilie-kaufen-suchen
Park|Stadt-Garten-Rasen-Baum-Platz
Maultaschen|essen-Suppe-Nudel-Mund-Beutel
Stiefelknecht|Schuh-Fu#ss#-ziehen-Hilfe-Diener
Zebrastreifen|Stra#ss#e-gehen-#ue#berqueren-wei#ss#-Auto
16:9|Format-Fernsehr-TV-Bild-breit-4:3
Stargate|Science Fiction-Fernsehen-Serie-Sternentor-reisen
Wellensittich|Vogel-K#ae#fig-zwitschern-Haustier-Meer
Unsterblich|tot-nicht-Zombie-Horror-Vampier
Packungsbeilage|Aphotheke-Medikament-Tabletten-Zettel-falten
Navi|Auto-System-Karte-Ziel-fahren
Registrieren|anmelden-erkennen-Namen-Account-Daten
Payback|kaufen-Kunde-Laden-Karte-Bonus
Glas|durchsichtig-Scheibe-Fenster-trinken-zerbrechen
M#ae#hne|Haare-lang-viel-L#oe#we-Pferd
Kr#ae#henf#ue##ss#e|Augen-Falten-lachen-Vogel-laufen
Nerd|Typ-Computer-schlau-Brille-Au#ss#enseiter
Form|Art-Aussehen-Gestalt-backen-gie#ss#en
Stammbaum|Ahnen-Familie-Herkunft-Zweig-Pflanze
Pudding-Desert-kochen-Vanille-weich-wackeln
Nachos|Chips-Tortilla-dreieckig-So#ss#e-Kino
Stubenhocker|Zimmer-sitzen-drinnen-rausgehen-langweilig
Handtuch|Bad-nass-Wasser-trocken-Dusche
Shuttle|Weltraum-Space-Luft-Bus-Flughafen
W#ue#stenschiff|Kamel-Dromedar-Sand-Wasser-Boot
Pfeffer|Salz-w#ue#rzen-scharf-schwarz-M#ue#hle
Schokolade|Kakao-Tafel-Riegel-braun-s#ue##ss#
Scheinwerfer|Licht-hell-Auto-sehen-Nacht
Nackt|Kleidung-ohne-K#oe#rper-ausziehen-strippen
