Liebe|Gef#eh#l-Herz-m#oe#gen-sch#oe#n-Hass
Nass|trocken-Wasser-feucht-Regen-Dusche
Dribbeln|Ball-Boden-prellen-Hand-Fu#ss#
Toast|Brot-Schreibe-r#oe#sten-Sandwich-Butter
Seitensprung|Treue-Ehe-Aff#ae#re-Betrug-Liebhaber
Schneidersitz|Boden-Beine-hocken-Yoga-n#ae#hen
Affe|Tier-Mensch-Dschungel-Gorilla-Schimpanse
Dachschaden|Haus-kaputt-reparieren-Kopf-Macke
Trinkgeld|Kellner-Bedienung-bezahlen-Rest-stimmt
Orangenhaut|Cellulite-Schenkel-Po-Dellen-Saft
Kissen|Kopf-weich-Sofa-sitzen-schlafen
Tandem|zwei-Rad-Lenker-fahren-doppelt
Zelt|Camping-Schlafsack-Dach-Plane-Urlaub
Tretm#ue#hle|Fu#ss#-Schritt-Antrieb-Job-Arbeit
B#ue#rgersteig|gehen-Weg-Stra#ss#e-Fu#ss#-Seite
Haken|Angel-Fisch-spitz-K#oe#der-Sache
Datenschutz|Erkl#ae#rung-Person-Angaben-Kind-speichern
Frikadelle|Fleisch-rund-Pfanne-braten-Hamburger
Jonglieren|Ball-Keule-Ring-werfen-fangen
Gespenst|Geist-tot-spuken-Bettlaken-Nacht
Reissz#ae#hne|Tier-Maul-lang-Wolf-Hund
Peitsche|schwingen-schlagen-Leder-Knall-Pferd
Karneval|Fasching-Februar-Kost#ue#m-verkleiden-Rio de Janeiro
Schiedsrichter|Sport-entscheiden-Urteil-Ergebnis-Pfeife
Kanu|Boot-Paddel-Wasser-klein-Kajak
Angsthase|Feigling-Mut-Panik-Ostern-Kaninchen
Drahtseil|Akribat-Zirkus-Schnur-gehen-Akt
Geistesblitz|Idee-Gedanke-pl#oe#tzlich-Gef#ue#h#oe#-Plan
Tennis|Sport-Platz-Schl#ae#ger-Ball-Wimbledon
Fantasie|Vorstellung-Bild-ausdenken-Geschichte-Realit#ae#t
Treibhaus|Glas-Pflanze-Gem#ue#se-wachsen-Effekt
Milchstra#ss#e|Galaxis-Himmel-Planet-Kuh-Weg
Fechten|Sport-Degen-Schwert-k#ae#mpfen-Duell
Bass|Musik-Instrument-tief-Mann-Stimme
Vitamin C|gesund-Obst-Orange-A-B
Gasse|Stra#ss#e-Weg-schmal-eng-gehen
Sherlok Holmes|Detektiv-Verbrechen-England-Watson-Robert Doeney Jr.
Gerichtsmedizin|Verbrechen-Mord-untersuchen-Spur-Arzt
Musikantenknochen|Arm-Ellenbogen-Nerv-ansto#ss#en-Instrument
Pf#ue#tze|Regen-Bogen-Wasser-sammeln-Schlamm
Telenovela|Serie-Fernsehen-gucken-Roman-S#ue#damerika
Stoppeln|Bart-Haare-Gesicht-rasieren-kratzen
Liegestuhl|Sonne-Sommer-drau#ss#en-Pool-sitzen
Nikolaus|Dezember-Weihnachten-Mann-Sack-Stiefel
Lila|Farbe-blau-rot-violette-Lavendel
Schuppen|Haare-Kopf-Haut-wei#ss#-Fisch
Ebay|Internet-kaufen-versteigern-bieten-Auktion
Stepptanz|Schuhe-Schritt-Musik-Metall-Gene Kelly
Saubohne|Gem#ue#se-gr#ue#n-Erbse-Schwein-grunzen
Honig|Biene-Imker-s#ue##ss#-fl#ue#ssig-klebrig
H#oe#lle|Teufel-Feuer-tot-b#oe#se-Himmel
Spam|eMail-Werbung-Nachricht-Ordner-l#oe#schen
Fan|bewundenr-schw#ae#rmen-Anh#ae#nger-toll-Star
Gep#ae#ck|Koffer-Kleidung-Tasche-schwer-Urlaub
Astronaut|Weltall-Raumschiff-Mond-Anzug-Neil Armstrong
Schwitzen|Haut-hei#ss#-Wasser-Dr#ue#se-Sauna
Schwarzfahrer|Karte-Bus-bezahlen-erwischen-wei#ss#
Ged#ae#chtnis|erinnern-Gedanken-speichern-Kopf-Gehirn
Castingshow|Fernsehen-Talent-singen-Jury-Star
Geheim|kennen-Nummer-Agent-verstecken
Rauswerfer|Disco-Club-Mann-stark-schmei#ss#en
Million#ae#r|Geld-viel-reich-Lotto-Yacht
Couch|Sofa-M#oe#bel-sitzen-Wohnzimmer-Psychiater
Lotterie|spielen-Zahlen-Gl#ue#ck-ziehen-Gewinn
Curry|essen-Gew#ue#rz-Indien-Asien-gelb
Fahren|Auto-Rad-Stra#ss#e-Motor-laufen
Schauspieler|Thater-Film-B#ue#hne-darstellen-Rolle
Konfetti|Papuer-Schnipsel-klein-bunt-werfen
Zehenspitzen|Fu#ss#-vorne-laufen-schleichen-Finger
Intelligent|Verstand-klug-schlau-Quotient-dumm
Windbeutel|Geb#ae#ck-essen-s#ue##ss#-Sahne-gef#ue#llt
Wiegenlied|Bett-schlafen-Baby-Nacht-singen
Lama|Tier-Kamel-spucken-S#ue#damerika-Buddhismus
Halbzeit|Sport-Spiel-Pause-Mitte-Fu#ss#ball
Di#ae#t|Gewicht-abnehmen-dick-Kalorien-essen
Lehrer|Schule-Unterricht-lernen-Ausbildung-beibringen
Geschenk|Gabe-Geburtstag-Weihnachten-einpacken-w#ue#nsche
Delfin|Meer-Fisch-klug-Tier-Flipper
Bio|Natur-Schule-essen-gesund-#oe#ko
D#oe#ner|Kebab-Fleisch-essen-Brot-T#ue#rkei
Remake|Film-neu-alt-Auflage-modern
Abzug|Pistole-Gewehr-schie#ss#en-Finger-Rauch
Golf|Sport-spielen-Schl#ae#ger-Platz-Auto
Flussbett|Wasser-Bach-Boden-schlafen-Nacht
Steckbrieg|Person-suchen-Beschreibung-Verbrechen-Post
Katamaran|Boot-Schiff-Rumpf-zwei-rudern
Besserwisser|schlau-klug-Verstand-alles-Streber
Trommelfell|Ohr-h#oe#ren-Haut-Schlagzeug-Pelz
Geometrie|Mathe-Schule-Form-Lineal-Winkel
Thriller|Film-Buch-Krimi-spannend-Mystery
DJ|Musik-auflegen-spielen-Club-tanzen
Schatten|Sonne-Licht-hell-dunkel-Schirm
Poker|Spiel-Karten-Einsatz-Hand-Full House
Azubi|Lehrling-Ausbildung-Betrieb-Schule-Beruf
Leuchtturm|Meer-K#ue#ste-Signal-Schiff-warnen
Keilabsatz|Schuhe-Plateau-hoch-Form-Frau
Orange|Frucht-Obst-rund-Saft-Farbe
Tank|Beh#ae#lter-Wasser-Benzin-Auto-Gas
Osterglocke|Blume-gelb-Narzisse-Fr#ue#hling-Hase
Desktop|Computer-Schreibtisch-Bildschirm-Ordner-ablegen
Australien|Kontinent-Sydney-Aboginies-Outback-K#ae#nguru
Nagellack|Finger-Hand-bunt-Farbe-rot
Donut|Geb#ae#ck-Ring-Teig-essen-s#ue##ss#
Spielzeug|Kind-Fantasie-Puppe-Eisenbahn-Spa#ss#
Gelee|Marmelade-Glas-Fr#ue#hst#ue#ck-Obst-wackeln
Teddyb#ae#r|Spielzeug-Tier-Stoff-weich-kuscheln
Traumfabrik|Film-Kino-Hollywood-schlafen-Flie#ss#band
Massage|K#oe#rper-Muskeln-Verspannung-lockern-kneten
Event|Veranstaltung-Konzert-Kino-Party-Zuschauer
Oper|Musik-singen-B#ue#hne-Arie-Tenor
Mistelzeweig|Baum-Busch-wei#ss#Weihnachten-Kuss
K#ue#ste|Land-Strand-Rand-Meer-Wasser
Kabel|Strom-lang-Stecker-Fernseher-aufladen#M#ue#tze|Hut-Kopf-Haare-baseball-Strick
N#ae#hmaschine|Nadel-Garn-Pedal-Spule-Kleidung
Hand|Finger-Arm-Gelenk-greifen-Fl#ae#che
Atlas|Welt-Globus-Buch-Karte-Plan
Sport|K#oe#rper-fit-gesund-Training-treiben
Streetart|Kunst-drau#ss#en-Wand-Boden-spr#ue#hen
Demonstration|Protest-dagegen-daf#ue#r-marschieren-Stra#ss#e
Outlet|Laden-Store-kaufen-billig-Rabatt
Br#ue#cke|Fluss-Stra#ss#e-dar#ue#ber-kreuzen-Weg
Modedesigner|Beruf-Kleidung-entwerfen-Laufsteg-Lagerfeld
Naturschutz|Umwelt-aktiv-aufpassen-Zerst#oe#rung-Mensch
Feinstaub|Schmutz-Partikel-Luft-klein-krank
Kontakt|Verbingung-Strom-K#oe#rper-Ber#ue#hrung-Person
Vielflieger|Reise-Meilen-Programm-Rabatt-Punkte
Brandenburger Tor|Berlin-Hauptstadt-Wahrzeichen-Durchfahrt-Quadriga
Haust#ue#r|wohnen-Dach-vorne-#oe#ffnen-klingeln
Maske|Gesicht-verstecken-verkleiden-Karneval-Gas
Werwolf|Monster-Hund-verwandeln-Mensch-Mythos
Bart|Mann-Gesicht-Haare-rasieren-Lippe
Schlafwandler|Nacht-Augen-aufwachen-gehen-Bett
Button|Knopf-Taste-Feld-Anstecker-Nadel
Schmerz|wehtun-Schlag-Sto#ss#-Aua-Herz
Hagel|Regeln-Eis-Korn-fallen-sch#ue#tten
Flagge|Fahne-Land-flattern-Farben-hissen
Buchhalter|Steuern-Geld-Akten-Firma-B#ue#ro
Heizpilz|warm-kalt-drau#ss#en-Gas-Champignon
Must-Have|haben-m#ue#ssen-absolut-unbedingt-jeder
Gr#ue#bchen|Mund-Gesicht-Wange-Loch-l#ae#cheln
Schowdown|Film-Ende-Action-Explosion-spannend
Nebensache|Hauptsache-wichtig-egal-Ding-sch#oe#n
Schallmauer|Ton-h#oe#ren-durchbrechen-fliegen-Haus
Metzger|Beruf-Handwerk-Fleisch-Messer-schneiden
Braut|Hochzeit-Trauung-Schleier-wei#ss#-Kleid
Regenschirm|Wetter-nass-Wolke-Sonne-trocken
Tor|T#ue#r-Durchgang-Pforte-Fu#ss#ball-Netz
Pille|Tablette-Apotheke-krank-schlucken-bitter
Fr#ue#hling|Jahr-Zeit-Winter-Sommer-gr#ue#n
Dunkelziffer|hell-Zahl-wissen-Statistik-Menge
Strumpfhose|eng-warm-fein-darunter-Frau
Armleuchter|Kerze-Licht-Lampe-zwei-Trottel
Browser|Internet-Web-surfen-Explorer-Safari
Tagebuch|schreiben-Papier-geheim-Gedanken-Ergebnis
Feder|Vogel-weich-Fl#ue#gel-leicht-springen
Keller|Haus-unten-Treppe-Stockwerk-Boden
Lakritze|schwarz-s#ue##ss#-essen-Gummi-Schnecke
Klaustrophobie|Angst-Panik-Raum-eng-geschlossen
Strand|K#ue#ste-Sand-Meer-Wasser-Urlaub
Regisseur|Film-Theater-Schauspieler-Anweisung-Action|
Nachmittag|sp#ae#ter-vorher-Abend-Morgen-Zeit
Rucksack|tragen-Tasche-Schule-Urlaub-Schulter
